term,id,domain,subdomain,category,difficulty
Tokenization,tokenization,AI,Natural Language Processing,Text Processing,Beginner
Stemming,stemming,AI,Natural Language Processing,Text Processing,Beginner
Lemmatization,lemmatization,AI,Natural Language Processing,Text Processing,Beginner
Stop Words,stop_words,AI,Natural Language Processing,Text Processing,Beginner
Named Entity Recognition,named_entity_recognition,AI,Natural Language Processing,Text Processing,Intermediate
Language Model,language_model,AI,Natural Language Processing,Language Modeling,Beginner
Masked Language Model,masked_language_model,AI,Natural Language Processing,Language Modeling,Intermediate
Autoregressive Model,autoregressive_model,AI,Natural Language Processing,Language Modeling,Intermediate
Next Token Prediction,next_token_prediction,AI,Natural Language Processing,Language Modeling,Beginner
Prompt Engineering,prompt_engineering,AI,Natural Language Processing,LLMs,Beginner
Context Window,context_window,AI,Natural Language Processing,LLMs,Beginner
Hallucination,hallucination,AI,Natural Language Processing,LLMs,Beginner
Few-Shot Learning,few_shot_learning,AI,Natural Language Processing,LLMs,Intermediate
Chain of Thought,chain_of_thought,AI,Natural Language Processing,LLMs,Intermediate
Function Calling,function_calling,AI,Natural Language Processing,LLMs,Intermediate
Tool Calling,tool_calling,AI,Natural Language Processing,LLMs,Intermediate
Chunking,chunking,AI,Retrieval Augmented Generation,Data Processing,Beginner
Document Parsing,document_parsing,AI,Retrieval Augmented Generation,Data Processing,Beginner
Metadata Extraction,metadata_extraction,AI,Retrieval Augmented Generation,Data Processing,Intermediate
Knowledge Base,knowledge_base,AI,Retrieval Augmented Generation,Data Processing,Beginner
Embedding,embedding,AI,Retrieval Augmented Generation,Embeddings,Intermediate
Vector Representation,vector_representation,AI,Retrieval Augmented Generation,Embeddings,Intermediate
Semantic Similarity,semantic_similarity,AI,Retrieval Augmented Generation,Embeddings,Intermediate
ChromaDB,chromadb,AI,Retrieval Augmented Generation,Vector Databases,Intermediate
Pinecone,pinecone,AI,Retrieval Augmented Generation,Vector Databases,Intermediate
Weaviate,weaviate,AI,Retrieval Augmented Generation,Vector Databases,Intermediate
FAISS,faiss,AI,Retrieval Augmented Generation,Vector Databases,Advanced
Milvus,milvus,AI,Retrieval Augmented Generation,Vector Databases,Advanced
Similarity Search,similarity_search,AI,Retrieval Augmented Generation,Retrieval,Beginner
Hybrid Search,hybrid_search,AI,Retrieval Augmented Generation,Retrieval,Intermediate
BM25,bm25,AI,Retrieval Augmented Generation,Retrieval,Intermediate
Reranking,reranking,AI,Retrieval Augmented Generation,Retrieval,Advanced
Top-K Retrieval,top_k_retrieval,AI,Retrieval Augmented Generation,Retrieval,Intermediate
Context Injection,context_injection,AI,Retrieval Augmented Generation,Generation,Beginner
Grounding,grounding,AI,Retrieval Augmented Generation,Generation,Intermediate
Answer Synthesis,answer_synthesis,AI,Retrieval Augmented Generation,Generation,Intermediate
Agent,agent,AI,Agentic AI,Core Concepts,Beginner
Planner,planner,AI,Agentic AI,Core Concepts,Intermediate
Memory,memory,AI,Agentic AI,Core Concepts,Intermediate
Tool Use,tool_use,AI,Agentic AI,Core Concepts,Intermediate
Multi-Agent System,multi_agent_system,AI,Agentic AI,Core Concepts,Advanced
Workflow Orchestration,workflow_orchestration,AI,Agentic AI,Core Concepts,Advanced
Zero-Shot,zero_shot,AI,Agentic AI,Prompt Engineering,Beginner
One-Shot,one_shot,AI,Agentic AI,Prompt Engineering,Beginner
Few-Shot,few_shot,AI,Agentic AI,Prompt Engineering,Beginner
Role Prompting,role_prompting,AI,Agentic AI,Prompt Engineering,Intermediate
Structured Prompting,structured_prompting,AI,Agentic AI,Prompt Engineering,Intermediate
Fine-Tuning,fine_tuning,AI,Agentic AI,Model Adaptation,Intermediate
LoRA,lora,AI,Agentic AI,Model Adaptation,Advanced
QLoRA,qlora,AI,Agentic AI,Model Adaptation,Advanced
RLHF,rlhf,AI,Agentic AI,Model Adaptation,Advanced
Instruction Tuning,instruction_tuning,AI,Agentic AI,Model Adaptation,Intermediate
Model Serving,model_serving,AI,AI Engineering,System Design,Intermediate
API Design,api_design,AI,AI Engineering,System Design,Intermediate
Caching,caching,AI,AI Engineering,System Design,Intermediate
Load Balancing,load_balancing,AI,AI Engineering,System Design,Advanced
Scalability,scalability,AI,AI Engineering,System Design,Advanced
Benchmarking,benchmarking,AI,AI Engineering,Evaluation,Beginner
RAGAS,ragas,AI,AI Engineering,Evaluation,Advanced
DeepEval,deepeval,AI,AI Engineering,Evaluation,Advanced
Latency,latency,AI,AI Engineering,Evaluation,Beginner
Accuracy,accuracy,AI,AI Engineering,Evaluation,Beginner
Faithfulness,faithfulness,AI,AI Engineering,Evaluation,Intermediate
LiteLLM,litellm,AI,AI Engineering,Orchestration,Intermediate
LangChain,langchain,AI,AI Engineering,Orchestration,Intermediate
LlamaIndex,llamaindex,AI,AI Engineering,Orchestration,Intermediate
LangGraph,langgraph,AI,AI Engineering,Orchestration,Advanced
CrewAI,crewai,AI,AI Engineering,Orchestration,Advanced
Dataset Versioning,dataset_versioning,AI,MLOps,Data Management,Intermediate
Data Pipeline,data_pipeline,AI,MLOps,Data Management,Intermediate
Data Validation,data_validation,AI,MLOps,Data Management,Intermediate
Training,training,AI,MLOps,Model Lifecycle,Beginner
Deployment,deployment,AI,MLOps,Model Lifecycle,Intermediate
Monitoring,monitoring,AI,MLOps,Model Lifecycle,Intermediate
Drift Detection,drift_detection,AI,MLOps,Model Lifecycle,Advanced
MLflow,mlflow,AI,MLOps,Tools,Intermediate
Weights & Biases,weights_and_biases,AI,MLOps,Tools,Intermediate
Attention,attention,AI,Deep Learning Foundations,Transformers,Intermediate
Self-Attention,self_attention,AI,Deep Learning Foundations,Transformers,Intermediate
Multi-Head Attention,multi_head_attention,AI,Deep Learning Foundations,Transformers,Advanced
Encoder,encoder,AI,Deep Learning Foundations,Transformers,Intermediate
Decoder,decoder,AI,Deep Learning Foundations,Transformers,Intermediate
Positional Encoding,positional_encoding,AI,Deep Learning Foundations,Transformers,Advanced
Gradient Descent,gradient_descent,AI,Deep Learning Foundations,Neural Networks,Beginner
Backpropagation,backpropagation,AI,Deep Learning Foundations,Neural Networks,Intermediate
Activation Function,activation_function,AI,Deep Learning Foundations,Neural Networks,Beginner
Loss Function,loss_function,AI,Deep Learning Foundations,Neural Networks,Beginner
Perceptron,perceptron,AI,Deep Learning Foundations,Neural Networks,Beginner
Feed Forward Network,feed_forward_network,AI,Deep Learning Foundations,Neural Networks,Beginner
Transfer Learning,transfer_learning,AI,Deep Learning Foundations,Neural Networks,Intermediate
Retrieval Augmented Generation,retrieval_augmented_generation,AI,Retrieval Augmented Generation,Core Concepts,Intermediate
Vector Database,vector_database,AI,Retrieval Augmented Generation,Vector Databases,Beginner
Approximate Nearest Neighbor,approximate_nearest_neighbor,AI,Retrieval Augmented Generation,Retrieval,Advanced
Cosine Similarity,cosine_similarity,AI,Retrieval Augmented Generation,Embeddings,Intermediate
Transformer,transformer,AI,Deep Learning Foundations,Transformers,Intermediate
Direct Preference Optimization,dpo,AI,Agentic AI,Model Adaptation,Advanced
Proximal Policy Optimization,ppo,AI,Agentic AI,Model Adaptation,Advanced
Reinforcement Learning from AI Feedback,rlaif,AI,Agentic AI,Model Adaptation,Advanced
Parameter-Efficient Fine-Tuning,peft,AI,Agentic AI,Model Adaptation,Intermediate
ReAct Pattern,react_pattern,AI,Agentic AI,Core Concepts,Advanced
Semantic Router,semantic_router,AI,AI Engineering,System Design,Intermediate
Guardrails,guardrails,AI,AI Engineering,System Design,Intermediate
Byte Pair Encoding,byte_pair_encoding,AI,Natural Language Processing,Text Processing,Intermediate
Cross-Encoder,cross_encoder,AI,Retrieval Augmented Generation,Retrieval,Intermediate
Bi-Encoder,bi_encoder,AI,Retrieval Augmented Generation,Retrieval,Intermediate
Reciprocal Rank Fusion,reciprocal_rank_fusion,AI,Retrieval Augmented Generation,Retrieval,Advanced
Sentence Window Retrieval,sentence_window_retrieval,AI,Retrieval Augmented Generation,Retrieval,Intermediate
Auto-Merging Retrieval,auto_merging_retrieval,AI,Retrieval Augmented Generation,Retrieval,Advanced
Linear Regression,linear_regression,AI,Machine Learning,Supervised Learning,Beginner
Logistic Regression,logistic_regression,AI,Machine Learning,Supervised Learning,Beginner
Decision Trees,decision_trees,AI,Machine Learning,Supervised Learning,Beginner
Random Forest,random_forest,AI,Machine Learning,Supervised Learning,Intermediate
Gradient Boosting,gradient_boosting,AI,Machine Learning,Supervised Learning,Intermediate
XGBoost,xgboost,AI,Machine Learning,Supervised Learning,Intermediate
Support Vector Machine,support_vector_machine,AI,Machine Learning,Supervised Learning,Intermediate
K-Nearest Neighbors,k_nearest_neighbors,AI,Machine Learning,Supervised Learning,Beginner
Clustering,clustering,AI,Machine Learning,Unsupervised Learning,Beginner
K-Means,k_means,AI,Machine Learning,Unsupervised Learning,Beginner
DBSCAN,dbscan,AI,Machine Learning,Unsupervised Learning,Intermediate
Hierarchical Clustering,hierarchical_clustering,AI,Machine Learning,Unsupervised Learning,Intermediate
Dimensionality Reduction,dimensionality_reduction,AI,Machine Learning,Unsupervised Learning,Intermediate
PCA,pca,AI,Machine Learning,Unsupervised Learning,Intermediate
t-SNE,t_sne,AI,Machine Learning,Unsupervised Learning,Advanced
UMAP,umap,AI,Machine Learning,Unsupervised Learning,Advanced
Markov Decision Process,markov_decision_process,AI,Machine Learning,Reinforcement Learning,Intermediate
Q-Learning,q_learning,AI,Machine Learning,Reinforcement Learning,Intermediate
Deep Q-Networks,deep_q_networks,AI,Machine Learning,Reinforcement Learning,Advanced
Policy Gradient,policy_gradient,AI,Machine Learning,Reinforcement Learning,Advanced
Actor-Critic,actor_critic,AI,Machine Learning,Reinforcement Learning,Advanced
Reward Function,reward_function,AI,Machine Learning,Reinforcement Learning,Beginner
Convolution,convolution,AI,Deep Learning,CNN,Beginner
Pooling,pooling,AI,Deep Learning,CNN,Beginner
Feature Maps,feature_maps,AI,Deep Learning,CNN,Intermediate
Object Detection,object_detection,AI,Deep Learning,CNN,Intermediate
Image Classification,image_classification,AI,Deep Learning,CNN,Beginner
LSTM,lstm,AI,Deep Learning,RNN,Intermediate
GRU,gru,AI,Deep Learning,RNN,Intermediate
Sequence Modeling,sequence_modeling,AI,Deep Learning,RNN,Intermediate
Image Segmentation,image_segmentation,AI,Computer Vision,Image Processing,Advanced
Feature Extraction,feature_extraction,AI,Computer Vision,Image Processing,Intermediate
YOLO,yolo,AI,Computer Vision,Models,Advanced
ResNet,resnet,AI,Computer Vision,Models,Advanced
EfficientNet,efficientnet,AI,Computer Vision,Models,Advanced
Vision Transformer,vision_transformer,AI,Computer Vision,Models,Advanced
Model Evaluation,model_evaluation,AI,MLOps,Model Lifecycle,Intermediate
Kubeflow,kubeflow,AI,MLOps,Tools,Advanced
Airflow,airflow,AI,MLOps,Tools,Intermediate
Overfitting,overfitting,AI,Machine Learning,Supervised Learning,Beginner
Regularization,regularization,AI,Machine Learning,Supervised Learning,Intermediate

